model,corr,vol,n_obs,MAE_return,dir_acc
RandomWalk,low_corr,low_vol,3095,0.007233053064892887,0.5166015625
RandomWalk,low_corr,high_vol,390,0.010180199463536972,0.4524421593830334
RandomWalk,high_corr,low_vol,250,0.006501824164403833,0.45528455284552843
RandomWalk,high_corr,high_vol,2760,0.011665823535340831,0.4675655976676385
LinearRegression,low_corr,low_vol,3095,0.007338437872696396,0.5107421875
LinearRegression,low_corr,high_vol,390,0.010324499203964513,0.4884318766066838
LinearRegression,high_corr,low_vol,250,0.006569304634221449,0.508130081300813
LinearRegression,high_corr,high_vol,2760,0.012155631745735333,0.4872448979591837
Ridge,low_corr,low_vol,3095,0.007208721339662669,0.533203125
Ridge,low_corr,high_vol,390,0.010130098528968491,0.5295629820051414
Ridge,high_corr,low_vol,250,0.006521318020226338,0.483739837398374
Ridge,high_corr,high_vol,2760,0.011655663395284873,0.5174927113702624
Lasso,low_corr,low_vol,3095,0.007206601329821729,0.5354817708333334
Lasso,low_corr,high_vol,390,0.010122615737516277,0.5244215938303342
Lasso,high_corr,low_vol,250,0.006520555754324262,0.483739837398374
Lasso,high_corr,high_vol,2760,0.011672968750453141,0.5142128279883382
AR1,low_corr,low_vol,3095,0.0072338382153622205,0.5224609375
AR1,low_corr,high_vol,390,0.010117024230059538,0.5295629820051414
AR1,high_corr,low_vol,250,0.006483688880452227,0.5284552845528455
AR1,high_corr,high_vol,2775,0.01159021682938571,0.5052555273649874
